ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-04-23,193642.02906693885,190978.04195221132,197138.8296324109,193642.02906693885,193642.02906693885,388.58694114856837,388.58694114856837,388.58694114856837,388.58694114856837,388.58694114856837,388.58694114856837,0.0,0.0,0.0,194030.6160080874,194030,190978,197138
2020-04-24,199713.36284358377,197761.241980191,203418.02714848903,199713.36284358377,199713.36284358377,874.8016233776134,874.8016233776134,874.8016233776134,874.8016233776134,874.8016233776134,874.8016233776134,0.0,0.0,0.0,200588.16446696137,200588,197761,203418
2020-04-25,205784.6966202286,203713.24658303295,209436.02093863502,205784.6966202286,205784.6966202286,727.2987974310258,727.2987974310258,727.2987974310258,727.2987974310258,727.2987974310258,727.2987974310258,0.0,0.0,0.0,206511.99541765964,206511,203713,209436
2020-04-26,211856.03039687354,209070.61488092455,214578.31629338203,211856.03039687354,211856.03039687354,-165.70172477201166,-165.70172477201166,-165.70172477201166,-165.70172477201166,-165.70172477201166,-165.70172477201166,0.0,0.0,0.0,211690.32867210152,211690,209070,214578
2020-04-27,217315.72159788213,213494.77213971052,219478.9075277676,217315.72159788213,217315.72159788213,-905.3214847580509,-905.3214847580509,-905.3214847580509,-905.3214847580509,-905.3214847580509,-905.3214847580509,0.0,0.0,0.0,216410.40011312408,216410,213494,219478
2020-04-28,222775.4127988906,218828.2296244518,224809.2892545011,222775.4127988906,222775.4127988906,-728.2893533228321,-728.2893533228321,-728.2893533228321,-728.2893533228321,-728.2893533228321,-728.2893533228321,0.0,0.0,0.0,222047.1234455678,222047,218828,224809
2020-04-29,228235.10399989912,225204.1113302945,230820.86948874098,228235.10399989912,228235.10399989912,-191.37479910514256,-191.37479910514256,-191.37479910514256,-191.37479910514256,-191.37479910514256,-191.37479910514256,0.0,0.0,0.0,228043.72920079398,228043,225204,230820
2020-04-30,233694.79520090765,231096.7132786339,237195.7171858638,233694.79520090765,233694.79520090765,388.5869411490631,388.5869411490631,388.5869411490631,388.5869411490631,388.5869411490631,388.5869411490631,0.0,0.0,0.0,234083.3821420567,234083,231096,237195
2020-05-01,239154.48640191628,237008.8130089501,243066.15665017636,239154.48640191628,239154.48640191628,874.8016233767703,874.8016233767703,874.8016233767703,874.8016233767703,874.8016233767703,874.8016233767703,0.0,0.0,0.0,240029.28802529303,240029,237008,243066
2020-05-02,244614.17760292478,242343.44289835045,248410.0283042112,244614.17760292478,244614.17760292478,727.2987974330282,727.2987974330282,727.2987974330282,727.2987974330282,727.2987974330282,727.2987974330282,0.0,0.0,0.0,245341.47640035782,245341,242343,248410
